Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
MT1,MT PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,MT,USD
MT2,MT PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,MT,USD
MTD,BV PORTFÖY MALZEME TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,BV,TL
MTF,MT PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,MT,TL
MTG,DENİZ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOGUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,DENİZ,TL
MTH,MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,MT,TL
MTK,MT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,MT,TL
MTS,AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,AKTİF,TL
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AK,TL
MTX,TEB PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,TEB,TL
MUT,GARANTİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,GARANTİ,TL
NAK,NEO PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,Altın,NEO,TL
NAU,NEO PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,NEO,TL
NBH,NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,Tematik,NEO,TL
NBO,NEO PORTFÖY BORÇLANMA ARACI FONLARI FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,NEO,TL
NBZ,NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NEO,USD
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NUROL,USD
NFF,NEO PORTFÖY FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,Fon Sepeti,NEO,TL
NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,NEO,TL
NHY,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,NEO,TL
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,NUROL,TL
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,NUROL,TL
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,Diğer Katılım,NUROL,TL
NKA,NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,NEO,USD
NKC,NEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,NEO,TL
