Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ATA,TL
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Serbest Şemsiye Fonu,Fon Sepeti,ATA,TL
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ATA,TL
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Şemsiye Fonu,Kısa Vade,PARDUS,TL
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,Para Piyasası,PARDUS,TL
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,PARDUS,TL
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,PARDUS,USD
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İSTANBUL,TL
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İSTANBUL,TL
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,İSTANBUL,USD
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstatiksel Arbitraj,AK,TL
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AK,TL
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ATA,TL
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,AK,TL
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,ALLBATROSS,TL
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,AK,TL
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,AK,TL
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,AK,TL
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ATLAS,TL
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Şemsiye Fonu,Döviz,ATLAS,USD
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,ATLAS,TL
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AZİMUT,TL
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,AK,TL
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,A1 CAPİTAL,TL
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AK,USD
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AK,TL
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AK,TL
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,AK,TL
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AK,TL
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AK,TL
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,STRATEJİ,TL
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,ATA,USD
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,ALLBATROSS,TL
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AK,TL
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ATLAS,TL
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,PARDUS,TL
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,AK,TL
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AK,TL
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,İSTANBUL,TL
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AK,TL
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AK,TL
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,ALLBATROSS,USD
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AKTİF,TL
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,AZİMUT,TL
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,A1 CAPİTAL,TL
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AK,USD
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Kar Payı Ödeyen,ATA,TL
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,AK,TL
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,Değişken Şemsiye Fonu,Değişken,BULLS,TL
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,BV,TL
BBF,PARDUS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,PARDUS,TL
BBP,ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,ALLBATROSS,TL
BBS,BULLS PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,BULLS,TL
BCK,DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,DENİZ,TL
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,BULLS,TL
BDA,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,EUR
BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AURA,TL
BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,PARDUS,TL
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AK,TL
BFE,ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ALLBATROSS,TL
BFS,BULLS PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,BULLS,TL
BFT,AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,AZİMUT,TL
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,AK,TL
BHA,BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,BULLS,TL
BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,PARDUS,TL
BHI,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,BV,TL
BHL,İŞ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,İŞ,TL
BID,QNB PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,QNB,TL
BIG,YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,YAPI KREDİ,TL
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,PARDUS,TL
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,İŞ,TL
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,İSTANBUL,TL
BIS,BV PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,BV,TL
BIY,AZİMUT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AZİMUT,TL
BJD,AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AZİMUT,USD
BKY,YAPI KREDİ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
BLD,DENİZ PORTFÖY BALEV EĞİTİME DESTEK SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,DENİZ,TL
BLT,BULLS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,BULLS,TL
BMU,BULLS PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,BULLS,TL
BNC,AK PORTFÖY BEŞİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AK,TL
BNH,İSTANBUL PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,İSTANBUL,TL
BOL,AKTİF PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AKTİF,TL
BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,A1 CAPİTAL,TL
BOS,BULLS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,BULLS,TL
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,BULLS,TL
BRC,RE-PIE PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,RE-PIE,TL
BRF,DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,DENİZ,TL
BRR,AK PORTFÖY İKİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,AK,TL
BRT,PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,PARDUS,TL
BS1,AHLATCI PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,AHLATCI,TL
BSD,BV PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,BV,USD
BSH,ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ATLAS,TL
BSM,GLOBAL MD PORTFÖY BERRAK SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,GLOBAL,TL
BST,PARDUS PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,PARDUS,TL
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,BV,TL
BTJ,ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,ATLAS,TL
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,Teknoloji Temalı,BV,TL
BTZ,ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,ATLAS,TL
BUB,BULLS PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,BULLS,TL
BUV,BULLS PORTFÖY VOLTRAN SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,BULLS,TL
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,AK,TL
BV1,BV PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,BV,TL
BVD,BV PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,BV,TL
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,Para Piyasası,BV,TL
BVK,BULLS PORTFÖY VOLTRAN KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Katılım,BULLS,TL
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ALLBATROSS,TL
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,BV,TL
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,BV,TL
CAH,A1 CAPİTAL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,A1 CAPİTAL,TL
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ROTA,TL
CIN,AKTİF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Yabancı Hisse Ağırlıklı,AKTİF,TL
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,ALBARAKA,TL
CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Çoklu Varlık,YAPI KREDİ,TL
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,İŞ,USD
CPT,ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,ROTA,TL
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,Teknoloji Temalı,AKTİF,TL
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,INVEO,TL
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,A1 CAPİTAL,TL
DA1,A1 CAPİTAL PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,A1 CAPİTAL,USD
DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,DENİZ,TL
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,USD
DBA,DENİZ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,DENİZ,TL
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,DENİZ,TL
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,DENİZ,TL
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,DENİZ,TL
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,DENİZ,TL
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,DENİZ,TL
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,DENİZ,TL
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,BIST Endeks,DENİZ,TL
DDF,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Diğer Serbest,DENİZ,TL
DEF,ALLBATROSS PORTFÖY DEFNE SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ALLBATROSS,TL
DFC,DENİZ PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,DENİZ,TL
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Emtia,DENİZ,TL
DFI,ATLAS PORTFÖY SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ATLAS,TL
DGF,A1 CAPİTAL PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,A1 CAPİTAL,TL
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,ATA,TL
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,DENİZ,TL
DHM,DENİZ PORTFÖY ESG-SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,DENİZ,TL
DHT,DENİZ PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,DENİZ,TL
DHV,DENİZ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,DENİZ,TL
DID,DENİZ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,DENİZ,TL
DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,DENİZ,TL
DKC,DENİZ PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,DENİZ,TL
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,DENİZ,TL
DKL,DENİZ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,USD
DKR,DENİZ PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,DENİZ,TL
DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,DENİZ,TL
DLD,DENİZ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,DENİZ,TL
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,DENİZ,TL
DLZ,DENİZ PORTFÖY ALİZE HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,DENİZ,TL
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,DENİZ,TL
DNF,A1 CAPİTAL PORTFÖY DİNAMİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,A1,TL
DNH,DENİZ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,DENİZ,TL
DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,TACİRLER,TL
DNM,QNB PORTFÖY DİNAMİK DAĞILIMLI SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,QNB,USD
DNP,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,DENİZ,TL
DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,TERA,TL
DOL,AKTİF PORTFÖY ÜÇÜNCÜ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AKTİF,USD
DOV,DENİZ PORTFÖY ONÜÇÜNCÜ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,EUR
DPB,DENİZ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,USD
DPI,DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,DENİZ,TL
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,DENİZ,TL
DPT,DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON ),Hisse Senedi Şemsiye Fonu,BIST Endeks,DENİZ,TL
DRA,NEO PORTFÖY DORA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,NEO,TL
DRT,DENİZ PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,DENİZ,TL
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,EUR
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,DENİZ,TL
